NAME,NSC,SMILES
Methotrexate,740,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Thioguanine,752,C1=NC2=C(N1)C(=S)N=C(N2)N
Thioguanine,757348,C1=NC2=C(N1)C(=S)N=C(N2)N
Mercaptopurine,755,C1=NC2=C(N1)C(=S)N=CN2
Mercaptopurine,759614,C1=NC2=C(N1)C(=S)N=CN2
Colchicine,757,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
Colchicine,756702,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
Mechlorethamine hydrochloride,762,CN(CCCl)CCCl.Cl
Allopurinol,1390,C1=NNC2=C1C(=O)NC=N2
Guanazole,1895,C1(=NC(=NN1)N)N
Dactinomycin D,3053,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
Pyrimethamine,3061,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
Pyrimethamine,757306,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
Chlorambucil,3088,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
Thiotepa,6396,C1CN1P(=S)(N2CC2)N3CC3
Melphalan hydrochloride,8806,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl.Cl
Triethylenemelamine,9706,C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4
Drostanolone propionate,12198,CCC(=O)OC1CCC2C1(CCC3C2CCC4C3(CC(C(=O)C4)C)C)C
Quinacrine hydrochloride,14229,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl
Fluorouracil,19893,C1=C(C(=O)NC(=O)N1)F
Fluorouracil,757036,C1=C(C(=O)NC(=O)N1)F
Nandrolone phenpropionate,23162,CC12CCC3C(C1CCC2OC(=O)CCC4=CC=CC=C4)CCC5=CC(=O)CCC35
Testolactone,23759,CC12CCC3C(C1CCC(=O)O2)CCC4=CC(=O)C=CC34C
Mitramycin,24559,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
Pipobroman,25154,C1CN(CCN1C(=O)CCBr)C(=O)CCBr
Cyclophosphamide,26271,C1CNP(=O)(OC1)N(CCCl)CCCl
mitomycin C,26980,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
5-Fluoro-2'-deoxyuridine,27640,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
Hydroxyurea,32065,C(=O)(N)NO
Curcumin,32982,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
"Benzamide, N-(5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)-, (S)-",33410,COC1=CC=C2C(=CC1=O)C(CCC3=CC(=C(C(=C32)OC)OC)OC)NC(=O)C4=CC=CC=C4
Uracil mustard,34462,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl
Dexamethasone,34521,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
Chelerythrine chloride,36405,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5.[Cl-]
Mitotane,38721,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
DTIC-Dome,45388,CN(C)N=NC1=C(NC=N1)C(=O)N
Vinblastine sulfate,49842,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
"2,3-Dihydro-1H-imidazo[1,2-b]pyrazole",51143,C1CN2C(=CC=N2)N1
Porfiromycine,56410,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4C)N
Oxyphenisatin acetate,59687,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C
Oxyphenisatin acetate,117186,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C
Oxyphenisatine,59814,C1=CC=C2C(=C1)C(C(=O)N2)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O
Cylocide,63878,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl
"9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-",63984,C1C(OC(C1O)N2C=NC3=C(N=CN=C32)N)CO
Vincristine sulfate,67574,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
alpha-Thiodeoxyguanosine,71261,C1C(C(OC1N2C=NC3=C2NC(=NC3=S)N)CO)O
alpha-Thiodeoxyguanosine,71851,C1C(C(OC1N2C=NC3=C2NC(=NC3=S)N)CO)O
Megestrol acetate,71423,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
Ellipticine,71795,CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C
